Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,Rating_imdb
1984,108,Terminator The,Action,Schwarzenegger Arnold,Hamilton Linda,Cameron James,17.0,No,8.0
1974,109,Sugarland Express The,Drama,Johnson Ben,Hawn Goldie,Spielberg Steven,28.0,No,6.8
1931,95,Arrowsmith,Drama,Colman Ronald,Hayes Helen,Ford John,84.0,No,6.2
1988,163,Last Temptation of Christ The,Drama,Dafoe Willem,Hershey Barbara,Scorsese Martin,32.0,No,7.5
1934,80,Judge Priest,Drama,Rogers Will,Hudson Rochelle,Ford John,9.0,No,6.3
1987,112,Gardens of Stone,Drama,Caan James,Huston Anjelica,Coppola Francis Ford,27.0,No,6.4
1955,67,Killer's Kiss,Mystery,Silvera Frank,Kane Irene,Kubrick Stanley,66.0,No,6.6
1972,175,Godfather The,Drama,Brando Marlon,Keaton Diane,Coppola Francis Ford,8.0,Yes,9.2
1970,130,Fellini Satyricon,Drama,Potter Martin,Keller Hiram,Fellini Federico,88.0,No,6.9
1953,116,Mogambo,Action,Gable Clark,Kelly Grace,Ford John,71.0,No,6.7
1969,102,Rain People The,Drama,Caan James,Knight Shirley,Coppola Francis Ford,78.0,No,6.9
1983,94,Rumble Fish,Drama,Dillon Matt,Lane Diane,Coppola Francis Ford,4.0,No,7.2
